2017-09-30 11:30:41.993 +02:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-09-30 11:34:31.054 +02:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-09-30 11:38:13.759 +02:00 [Information] Path /dist/87fa308db454d746e99b.hot-update.json
2017-09-30 11:44:37.715 +02:00 [Information] Path /campus
2017-09-30 11:46:21.316 +02:00 [Information] Path /api/campus/list
2017-09-30 11:53:11.016 +02:00 [Information] Path /api/campus/current/participations
2017-09-30 11:53:50.158 +02:00 [Information] Path /projects
2017-09-30 11:54:15.238 +02:00 [Information] Path /api/campus/list
2017-09-30 12:00:56.003 +02:00 [Information] Path /api/campus/list
2017-09-30 12:01:24.309 +02:00 [Information] Path /api/project/add
2017-09-30 12:01:24.963 +02:00 [Information] Path /Account/Login
2017-09-30 12:01:26.677 +02:00 [Information] Path /api/project/list
2017-09-30 12:01:46.468 +02:00 [Information] Path /api/campus/list
2017-09-30 12:01:55.140 +02:00 [Information] Path /api/user/login
2017-09-30 12:01:57.648 +02:00 [Information] Belepes: False
2017-09-30 12:01:57.803 +02:00 [Information] Path /api/xsrftoken/get
2017-09-30 12:02:03.052 +02:00 [Information] Path /api/campus/list
2017-09-30 12:02:12.651 +02:00 [Information] Path /api/project/add
2017-09-30 12:02:12.741 +02:00 [Information] Path /Account/Login
2017-09-30 12:02:13.030 +02:00 [Information] Path /api/project/list
2017-09-30 12:30:43.618 +02:00 [Information] Path /api/campus/list
2017-09-30 12:30:46.482 +02:00 [Information] Path /api/campus/list
2017-09-30 12:30:50.740 +02:00 [Information] Path /projects
2017-09-30 12:31:14.925 +02:00 [Information] Path /
2017-09-30 12:31:14.935 +02:00 [Information] New Token CfDJ8Ny3EdM3ZS5LtWSy5cml2yE3oJbrwW7X1NszV-EU7dNKBy2-1eLanl2aUdtTmFryX0bA7CUKGVKU6aYPDkMY0Vx-7TREAuL-cIqxIp2rexmAtDCQpT-hyXUkhUeFrXVFHf-9Fge7d6dz5_jEcZ_ewkPWEIt4NTU9lrlEi3hw-vpx8sb8j44On84ccv2IbZUOMQ
2017-09-30 12:34:14.515 +02:00 [Information] Path /projects
2017-09-30 12:34:40.507 +02:00 [Information] Path /currentparticipants
2017-09-30 12:34:57.121 +02:00 [Information] Path /api/campus/current/participations
2017-09-30 12:35:29.700 +02:00 [Information] Path /api/campus/list
2017-09-30 12:35:59.179 +02:00 [Information] Path /api/project/add
2017-09-30 12:35:59.292 +02:00 [Information] Path /Account/Login
2017-09-30 12:36:00.891 +02:00 [Information] Path /api/project/list
2017-09-30 12:36:20.981 +02:00 [Information] Path /api/campus/list
2017-09-30 12:36:25.595 +02:00 [Information] Path /api/user/logout
2017-09-30 12:36:25.954 +02:00 [Information] Kilepes: True
2017-09-30 12:36:26.047 +02:00 [Information] Path /api/xsrftoken/get
2017-09-30 12:37:19.772 +02:00 [Information] Path /api/user/login
2017-09-30 12:37:20.255 +02:00 [Information] Belepes: False
2017-09-30 12:37:20.325 +02:00 [Information] Path /api/xsrftoken/get
2017-09-30 12:37:23.726 +02:00 [Information] Path /api/campus/list
2017-09-30 12:37:34.942 +02:00 [Information] Path /api/project/add
2017-09-30 12:37:35.004 +02:00 [Information] Path /Account/Login
2017-09-30 12:37:36.744 +02:00 [Information] Path /api/project/list
2017-09-30 12:37:41.270 +02:00 [Information] Path /api/project/add
2017-09-30 12:37:41.450 +02:00 [Information] Path /Account/Login
2017-09-30 12:37:41.867 +02:00 [Information] Path /api/project/list
2017-09-30 12:38:07.120 +02:00 [Information] Path /api/campus/list
2017-09-30 12:38:09.260 +02:00 [Information] Path /projects
2017-09-30 12:44:23.750 +02:00 [Information] Path /api/campus/list
2017-09-30 12:45:08.498 +02:00 [Information] Path /api/project/add
2017-09-30 12:45:08.740 +02:00 [Information] Path /Account/Login
2017-09-30 12:45:10.213 +02:00 [Information] Path /api/project/list
2017-09-30 12:52:19.607 +02:00 [Information] Path /projects
2017-09-30 12:52:56.183 +02:00 [Information] Path /api/campus/list
2017-09-30 12:53:04.655 +02:00 [Information] Path /api/campus/list
2017-09-30 12:56:49.690 +02:00 [Information] Path /projects
2017-09-30 13:08:58.390 +02:00 [Information] Path /api/campus/list
2017-09-30 13:09:20.131 +02:00 [Information] Path /api/project/add
2017-09-30 13:09:20.301 +02:00 [Information] Path /Account/Login
2017-09-30 13:09:22.010 +02:00 [Information] Path /api/project/list
2017-09-30 13:13:39.278 +02:00 [Information] Path /api/campus/list
2017-09-30 13:13:41.822 +02:00 [Information] Path /api/user/list
2017-09-30 13:13:41.897 +02:00 [Information] Supporting role True
2017-09-30 13:18:06.884 +02:00 [Information] Path /api/user/logout
2017-09-30 13:18:06.923 +02:00 [Information] Kilepes: True
2017-09-30 13:18:07.013 +02:00 [Information] Path /api/xsrftoken/get
2017-09-30 13:18:15.025 +02:00 [Information] Path /api/user/login
2017-09-30 13:18:15.538 +02:00 [Information] Belepes: False
2017-09-30 13:18:15.644 +02:00 [Information] Path /api/xsrftoken/get
2017-09-30 13:18:21.078 +02:00 [Information] Path /api/campus/list
2017-09-30 13:18:33.982 +02:00 [Information] Path /api/project/add
2017-09-30 13:18:34.175 +02:00 [Information] Path /Account/Login
2017-09-30 13:18:35.752 +02:00 [Information] Path /api/project/list
2017-09-30 14:00:48.562 +02:00 [Information] Path /api/campus/list
2017-09-30 14:00:53.736 +02:00 [Information] Path /api/user/logout
2017-09-30 14:00:53.749 +02:00 [Information] Kilepes: True
2017-09-30 14:00:53.817 +02:00 [Information] Path /api/xsrftoken/get
2017-09-30 14:01:03.054 +02:00 [Information] Path /login
2017-09-30 14:03:50.662 +02:00 [Information] Path /api/user/login
2017-09-30 14:03:51.064 +02:00 [Information] Belepes: False
2017-09-30 14:03:52.132 +02:00 [Information] Path /api/xsrftoken/get
2017-09-30 14:45:48.251 +02:00 [Information] Path /api/campus/list
2017-09-30 14:45:57.491 +02:00 [Information] Path /login
2017-09-30 14:45:58.501 +02:00 [Information] Path /api/campus/list
2017-09-30 15:15:34.313 +02:00 [Information] Path /api/SampleData/WeatherForecasts
2017-09-30 15:15:35.508 +02:00 [Information] Path /api/user/list
2017-09-30 15:15:35.613 +02:00 [Information] Supporting role True
2017-09-30 15:15:39.632 +02:00 [Information] Path /api/user/list
2017-09-30 15:15:39.671 +02:00 [Information] Supporting role True
2017-09-30 15:15:45.268 +02:00 [Information] Path /api/user/list
2017-09-30 15:15:45.295 +02:00 [Information] Supporting role True
2017-09-30 15:15:52.413 +02:00 [Information] Path /api/campus/current/participations
2017-09-30 15:16:03.633 +02:00 [Information] Path /api/campus/list
2017-09-30 15:16:35.273 +02:00 [Information] Path /api/project/add
2017-09-30 15:16:49.254 +02:00 [Information] Path /api/project/list
2017-09-30 15:17:25.269 +02:00 [Information] Path /api/campus/list
2017-09-30 15:17:38.149 +02:00 [Information] Path /api/campus/current/participations
2017-09-30 15:40:13.436 +02:00 [Information] Path /api/campus/list
2017-09-30 15:40:30.030 +02:00 [Information] Path /api/project/add
2017-09-30 15:40:31.351 +02:00 [Information] Path /api/project/list
2017-09-30 15:42:09.673 +02:00 [Information] Path /api/campus/list
2017-09-30 16:02:08.340 +02:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-09-30 16:05:57.691 +02:00 [Information] Path /
