2017-10-28 13:50:10.080 +02:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-10-28 13:59:37.741 +02:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-10-28 15:17:51.710 +02:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-10-28 15:26:15.256 +02:00 [Information] Path /
2017-10-28 15:26:15.511 +02:00 [Information] New Token CfDJ8Ny3EdM3ZS5LtWSy5cml2yHjCpb65Hi_x1ZtJdjYWjWJS7LqX6seWWII1BqOW36p7V2RBzMhciONUz29NTAGcML-vB_-h6hmtDWby3jIBoVScbeOXoRpYhh3WAnq2vveJxG5bi2QGqZMC8kMW5GozZA
2017-10-28 15:29:25.920 +02:00 [Information] Path /
2017-10-28 15:29:26.244 +02:00 [Information] New Token CfDJ8Ny3EdM3ZS5LtWSy5cml2yF2HYLNPrKXDO-F7VdYOXkOZAjJ9Ymc7AIc3Bvx5sHmuzhRF3eDQbSlhGqbZKWvgDNxUV1I9MXhzfMfoiQ63TqT99c03cRhZ6k24Cnxvjio-eJVDCM8Ft7pUr0hEcxn4LI
2017-10-28 15:29:55.509 +02:00 [Information] Path /api/user/login
2017-10-28 15:29:58.424 +02:00 [Information] Belepes: False
2017-10-28 15:29:58.558 +02:00 [Information] Path /api/xsrftoken/get
2017-10-28 15:30:04.618 +02:00 [Information] Path /api/campus/current/participations
2017-10-28 15:30:23.424 +02:00 [Information] Path /api/project/current/active/list
2017-10-28 15:34:51.200 +02:00 [Information] Path /api/user/logout
2017-10-28 15:34:51.384 +02:00 [Information] Kilepes: True
2017-10-28 15:34:51.508 +02:00 [Information] Path /api/xsrftoken/get
2017-10-28 15:35:33.010 +02:00 [Information] Path /api/user/login
2017-10-28 15:35:33.705 +02:00 [Information] Belepes: False
2017-10-28 15:35:33.753 +02:00 [Information] Path /api/xsrftoken/get
2017-10-28 15:35:40.475 +02:00 [Information] Path /api/user/list
2017-10-28 15:35:40.773 +02:00 [Information] Supporting role True
2017-10-28 15:36:54.149 +02:00 [Information] Path /api/user/add
2017-10-28 15:36:56.755 +02:00 [Information] Path /api/user/list
2017-10-28 15:36:56.773 +02:00 [Information] Supporting role True
2017-10-28 15:37:16.333 +02:00 [Information] Path /api/user/logout
2017-10-28 15:37:16.417 +02:00 [Information] Kilepes: True
2017-10-28 15:37:16.525 +02:00 [Information] Path /api/xsrftoken/get
2017-10-28 15:37:24.347 +02:00 [Information] Path /api/user/login
2017-10-28 15:37:24.792 +02:00 [Information] Belepes: False
2017-10-28 15:37:24.833 +02:00 [Information] Path /api/xsrftoken/get
2017-10-28 15:37:28.700 +02:00 [Information] Path /api/project/current/active/list
2017-10-28 15:37:28.980 +02:00 [Information] Path /Account/AccessDenied
2017-10-28 15:37:38.733 +02:00 [Information] Path /subscribe
2017-10-28 15:37:43.897 +02:00 [Information] Path /api/project/current/active/list
2017-10-28 15:37:45.683 +02:00 [Information] Path /Account/AccessDenied
2017-10-28 15:37:56.300 +02:00 [Information] Path /api/project/current/list
2017-10-28 15:37:56.509 +02:00 [Information] Path /Account/AccessDenied
2017-10-28 15:37:59.675 +02:00 [Information] Path /api/project/current/active/list
2017-10-28 15:37:59.798 +02:00 [Information] Path /Account/AccessDenied
2017-10-28 15:38:04.681 +02:00 [Information] Path /subscribe
2017-10-28 15:38:10.121 +02:00 [Information] Path /api/project/current/active/list
2017-10-28 15:38:10.850 +02:00 [Information] Path /Account/AccessDenied
2017-10-28 15:38:36.007 +02:00 [Information] Path /api/user/logout
2017-10-28 15:38:36.111 +02:00 [Information] Kilepes: True
2017-10-28 15:38:36.168 +02:00 [Information] Path /api/xsrftoken/get
2017-10-28 15:38:48.775 +02:00 [Information] Path /api/user/login
2017-10-28 15:38:48.980 +02:00 [Information] Belepes: False
2017-10-28 15:38:49.084 +02:00 [Information] Path /api/xsrftoken/get
2017-10-28 15:38:51.084 +02:00 [Information] Path /api/project/current/active/list
2017-10-28 15:38:51.187 +02:00 [Information] Path /Account/AccessDenied
2017-10-28 15:38:54.208 +02:00 [Information] Path /api/campus/current
2017-10-28 15:39:01.303 +02:00 [Information] Path /api/user/logout
2017-10-28 15:39:01.350 +02:00 [Information] Kilepes: True
2017-10-28 15:39:01.453 +02:00 [Information] Path /api/xsrftoken/get
2017-10-28 15:39:09.312 +02:00 [Information] Path /api/user/login
2017-10-28 15:39:09.724 +02:00 [Information] Belepes: False
2017-10-28 15:39:09.847 +02:00 [Information] Path /api/xsrftoken/get
2017-10-28 15:39:14.463 +02:00 [Information] Path /api/campus/list
2017-10-28 15:40:16.301 +02:00 [Information] Path /api/campus/edit
2017-10-28 15:40:17.441 +02:00 [Information] Path /api/campus/list
2017-10-28 15:40:22.843 +02:00 [Information] Path /api/campus/current
2017-10-28 15:40:27.198 +02:00 [Information] Path /api/user/logout
2017-10-28 15:40:27.385 +02:00 [Information] Kilepes: True
2017-10-28 15:40:27.439 +02:00 [Information] Path /api/xsrftoken/get
